task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_blob_02,True,True,1.0000,6.73,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,6.723,0.000,0.001,1,0,single,
task_blob_03,True,True,1.0000,6.75,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,True,rotate,direct_rotate,6.747,0.001,0.000,1,0,single,
task_blob_04,True,True,1.0000,8.39,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,8.385,0.000,0.000,1,0,single,
task_blob_05,True,True,1.0000,4.84,translation,translate,10x10,1,1,translation,1.0000,False,translate,,4.836,0.001,0.000,1,0,single,
task_blob_06,True,True,1.0000,5.24,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,5.227,0.002,0.002,1,0,single,
task_blob_07,True,False,0.9500,5.08,rotation,rotate,10x10,1,1,rotation,1.0000,True,rotate,direct_rotate,5.076,0.000,0.000,1,0,single,
task_blob_08,True,False,0.8800,4.94,reflection,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.938,0.000,0.000,1,0,single,
task_blob_09,True,True,1.0000,5.10,reflection|rotation,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,5.090,0.000,0.000,1,0,single,
task_blob_10,True,True,1.0000,4.90,translation,translate,10x10,1,1,translation,1.0000,False,translate,,4.900,0.000,0.000,1,0,single,
task_color_change_01,True,True,1.0000,6.95,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.933,0.002,0.007,1,0,single,
task_color_change_02,True,True,1.0000,6.81,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,6.803,0.000,0.001,1,0,single,
task_color_change_03,True,True,1.0000,4.99,composite|color_change|rotation|composite|color_change|rotation,color_change,6x6,2,1,composite,1.0000,True,color_change,direct_composite,4.986,0.001,0.001,1,0,single,
task_color_change_04,True,True,1.0000,6.54,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.533,0.001,0.001,1,0,single,
task_color_change_05,True,False,0.8750,6.40,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.392,0.004,0.000,1,0,single,
task_color_change_06,True,True,1.0000,6.40,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,6.389,0.004,0.000,1,0,single,
task_color_change_07,True,False,0.9600,5.14,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,5.131,0.001,0.001,1,0,single,
task_color_change_08,True,False,0.9400,5.08,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,5.072,0.002,0.001,1,0,single,
task_color_change_09,True,False,0.9200,5.16,composite|color_change|rotation,color_change,10x10,1,1,composite,1.0000,True,color_change,direct_composite,5.150,0.001,0.000,1,0,single,
task_color_change_10,True,True,1.0000,5.20,color_change,color_change,10x10,1,1,color_change,1.0000,False,color_change,,5.197,0.000,0.000,1,0,single,
task_composite_01,True,True,1.0000,6.17,composite|rotation|composite|rotation,translate,8x8,2,1,composite,1.0000,True,translate,direct_composite,6.158,0.002,0.001,1,0,single,
task_composite_02,True,True,1.0000,6.23,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,6.220,0.001,0.000,1,0,single,
task_composite_03,True,True,1.0000,5.39,composite|rotation|composite|rotation,translate,7x7,2,1,composite,1.0000,True,translate,direct_composite,5.382,0.001,0.001,1,0,single,
task_composite_04,True,True,1.0000,8.09,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,8.077,0.001,0.001,1,0,single,
task_composite_05,True,False,0.9400,5.17,reflection,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,5.166,0.000,0.002,1,0,single,
task_composite_06,True,False,0.9800,4.81,translation|reflection|rotation,translate,10x10,1,1,translation,1.0000,True,translate,direct_translate,4.802,0.001,0.000,1,0,single,
task_composite_07,True,True,1.0000,7.91,composite|rotation,composite,10x10,1,1,composite,1.0000,True,composite,direct_composite,7.894,0.002,0.001,1,0,single,
task_composite_08,True,False,0.9800,4.88,translation|reflection|rotation,translate,10x10,1,1,translation,1.0000,True,translate,direct_translate,4.871,0.001,0.001,1,0,single,
task_composite_09,True,False,0.9600,5.14,translation|reflection|rotation,translate,10x10,1,1,translation,1.0000,True,translate,direct_translate,5.126,0.000,0.001,1,0,single,
task_composite_10,True,True,1.0000,7.79,composite,composite,10x10,1,1,composite,1.0000,True,composite,direct_composite,7.781,0.001,0.001,1,0,single,
task_draw_line_01,True,True,1.0000,6.36,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,6.353,0.000,0.001,1,0,single,
task_draw_line_02,True,True,1.0000,6.30,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,6.290,0.000,0.001,1,0,single,
task_draw_line_03,True,True,1.0000,7.12,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,7.110,0.000,0.001,1,0,single,
task_draw_line_04,True,True,1.0000,7.32,draw_line|draw_line,draw_line,8x8,2,1,draw_line,1.0000,False,draw_line,,7.311,0.000,0.001,1,0,single,
task_draw_line_05,True,True,1.0000,12.01,draw_line|draw_line|draw_line,draw_line,10x10,3,1,draw_line,1.0000,False,draw_line,,12.003,0.000,0.000,1,0,single,
task_draw_line_06,True,False,0.9300,5.21,rotation,draw_line,10x10,1,1,rotation,1.0000,True,draw_line,direct_rotate,5.186,0.015,0.003,1,0,single,
task_draw_line_07,True,True,1.0000,5.59,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,5.588,0.000,0.000,1,0,single,
task_draw_line_08,True,True,1.0000,5.05,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,5.043,0.000,0.000,1,0,single,
task_draw_line_09,True,False,0.9600,5.29,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,5.280,0.000,0.000,1,0,single,
task_draw_line_10,True,True,1.0000,4.94,draw_line,draw_line,10x10,1,1,draw_line,1.0000,False,draw_line,,4.938,0.000,0.000,1,0,single,
task_flood_fill_01,True,True,1.0000,6.14,flood_fill|flood_fill,flood_fill,8x6,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,6.130,0.000,0.000,1,0,single,
task_flood_fill_02,True,True,1.0000,5.38,flood_fill|flood_fill,flood_fill,7x8,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,5.371,0.001,0.000,1,0,single,
task_flood_fill_03,True,True,1.0000,6.41,flood_fill|flood_fill,flood_fill,4x10,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,6.405,0.000,0.000,2,0,single,
task_flood_fill_04,True,True,1.0000,5.45,flood_fill|flood_fill,flood_fill,5x6,2,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,5.448,0.000,0.000,1,0,single,
task_flood_fill_05,True,True,1.0000,4.39,flood_fill,flood_fill,8x8,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,4.376,0.001,0.001,1,0,single,
task_flood_fill_06,True,True,1.0000,5.42,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,5.410,0.000,0.001,1,0,single,
task_flood_fill_07,True,False,0.9700,4.97,reflection,reflect,10x10,1,1,reflection,0.9500,True,reflect,direct_reflect,4.967,0.000,0.000,1,0,single,
task_flood_fill_08,True,True,1.0000,7.05,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,7.037,0.000,0.002,1,0,single,
task_flood_fill_09,True,True,1.0000,6.98,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,6.978,0.000,0.001,1,0,single,
task_flood_fill_10,True,True,1.0000,8.04,flood_fill,flood_fill,10x10,1,1,flood_fill,1.0000,True,flood_fill,direct_flood_fill,8.024,0.001,0.001,1,0,single,
task_multi_objects_01,True,True,1.0000,17.13,,,10x10,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_02,True,True,1.0000,13.43,,,8x8,2,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_03,True,True,1.0000,18.77,,,10x12,2,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_multi_objects_04,True,True,1.0000,6.94,,,10x10,1,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_05,True,False,0.9400,11.87,color_change|rotation,color_change,10x10,1,1,color_change,1.0000,True,color_change,direct_color_change,11.864,0.001,0.001,1,0,single,
task_multi_objects_06,True,True,1.0000,5.12,rotation,translate,10x10,1,1,rotation,1.0000,True,translate,direct_rotate,5.106,0.001,0.004,1,0,single,
task_multi_objects_07,True,True,1.0000,9.94,,,10x10,1,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_multi_objects_08,True,False,0.9400,12.99,,,10x10,1,1,,0.0000,False,,,0.000,0.000,0.000,2,0,single,
task_multi_objects_09,True,False,0.9700,12.76,scaling,symmetry,10x10,1,1,scaling,0.9000,True,symmetry,direct_scale,12.751,0.002,0.001,2,0,single,
task_multi_objects_10,True,False,0.9900,6.60,symmetry,symmetry,10x10,1,1,symmetry,1.0000,True,symmetry,direct_symmetry,6.592,0.001,0.001,2,0,single,
task_pattern_tile_01,True,True,1.0000,6.74,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,6.734,0.000,0.000,1,0,single,
task_pattern_tile_02,True,True,1.0000,11.53,tiling|tiling,tile,3x3,2,1,tiling,1.0000,False,tile,,11.528,0.000,0.000,2,0,single,
task_pattern_tile_03,True,True,1.0000,6.42,tiling,tile,2x2,1,1,tiling,1.0000,False,tile,,6.411,0.000,0.000,2,0,single,
task_pattern_tile_04,True,True,1.0000,3.34,tiling,tile,2x3,1,1,tiling,1.0000,False,tile,,3.328,0.000,0.000,1,0,single,
task_pattern_tile_05,True,True,1.0000,3.36,tiling,tile,3x2,1,1,tiling,1.0000,False,tile,,3.348,0.000,0.000,1,0,single,
task_pattern_tile_06,True,True,1.0000,3.68,tiling,tile,3x3,1,1,tiling,1.0000,False,tile,,3.674,0.000,0.000,1,0,single,
task_pattern_tile_07,True,True,1.0000,5.53,tiling,tile,3x3,1,1,tiling,1.0000,False,tile,,5.519,0.000,0.000,1,0,single,
task_pattern_tile_08,True,True,1.0000,4.88,tiling,tile,3x3,1,1,tiling,1.0000,False,tile,,4.875,0.000,0.000,1,0,single,
task_pattern_tile_09,True,True,1.0000,3.24,tiling,tile,3x3,1,1,tiling,1.0000,False,tile,,3.237,0.000,0.000,1,0,single,
task_pattern_tile_10,True,True,1.0000,9.85,tiling,tile,3x3,1,1,tiling,1.0000,False,tile,,9.838,0.000,0.001,9,0,single,
task_reflection_01,True,True,1.0000,6.29,reflection|reflection,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,6.275,0.000,0.003,1,0,single,
task_reflection_02,True,True,1.0000,6.25,reflection|rotation|reflection,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,6.244,0.001,0.001,1,0,single,
task_reflection_03,True,True,1.0000,195.18,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,195.173,0.000,0.001,1,0,single,
task_reflection_04,True,True,1.0000,6.43,reflection|reflection,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,6.417,0.001,0.003,1,0,single,
task_reflection_05,True,True,1.0000,6.30,rotation|reflection,reflect,8x8,2,1,rotation,1.0000,True,reflect,direct_rotate,6.270,0.001,0.015,1,0,single,
task_reflection_06,True,False,0.6667,4.90,reflection|reflection,reflect,6x6,2,1,reflection,1.0000,True,reflect,direct_reflect,4.892,0.000,0.001,1,0,single,
task_reflection_07,True,True,1.0000,5.22,reflection|rotation,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,5.213,0.000,0.001,1,0,single,
task_reflection_08,True,True,1.0000,5.01,reflection,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,5.006,0.000,0.000,1,0,single,
task_reflection_09,True,True,1.0000,5.05,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,5.048,0.001,0.001,1,0,single,
task_reflection_10,True,True,1.0000,5.70,composite|rotation|translation,translate,10x10,1,1,composite,1.0000,True,translate,direct_composite,5.685,0.002,0.002,1,0,single,
task_rotation_01,True,False,0.8906,6.42,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,True,rotate,direct_rotate,6.407,0.001,0.001,1,0,single,
task_rotation_02,True,True,1.0000,6.36,rotation|reflection|rotation,rotate,8x8,2,1,rotation,1.0000,True,rotate,direct_rotate,6.355,0.001,0.001,1,0,single,
task_rotation_03,True,False,0.9062,6.39,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,True,rotate,direct_rotate,6.385,0.000,0.001,1,0,single,
task_rotation_04,True,True,1.0000,6.36,reflection|rotation|rotation,rotate,8x8,2,1,reflection,1.0000,True,rotate,direct_reflect,6.355,0.000,0.000,1,0,single,
task_rotation_05,True,True,1.0000,6.37,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,True,reflect,direct_reflect,6.364,0.001,0.000,1,0,single,
task_rotation_06,True,True,1.0000,6.49,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,True,rotate,direct_rotate,6.481,0.000,0.001,1,0,single,
task_rotation_07,True,False,0.9600,4.98,rotation,rotate,10x10,1,1,rotation,1.0000,True,rotate,direct_rotate,4.973,0.000,0.000,1,0,single,
task_rotation_08,True,True,1.0000,4.89,reflection|rotation,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.885,0.001,0.001,1,0,single,
task_rotation_09,True,True,1.0000,4.94,reflection|rotation,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.933,0.000,0.000,1,0,single,
task_rotation_10,True,True,1.0000,4.93,reflection|rotation,reflect,10x10,1,1,reflection,1.0000,True,reflect,direct_reflect,4.927,0.000,0.001,1,0,single,
task_scale_01,True,True,1.0000,6.30,scaling|scaling,symmetry,10x10,2,1,scaling,0.9000,True,symmetry,direct_scale,6.295,0.002,0.001,1,0,single,
task_scale_02,True,True,1.0000,7.78,scaling|scaling,symmetry,10x10,2,1,scaling,0.9000,True,symmetry,direct_scale,7.762,0.004,0.001,1,0,single,
task_scale_03,True,True,1.0000,5.71,scaling,scale,10x10,1,1,scaling,0.9000,True,scale,direct_scale,5.698,0.001,0.001,1,0,single,
task_scale_04,True,True,1.0000,8.19,scaling|scaling,symmetry,12x12,2,1,scaling,0.9000,True,symmetry,direct_scale,8.183,0.004,0.000,1,0,single,
task_scale_05,True,True,1.0000,5.52,scaling,scale,10x10,1,1,scaling,0.9000,True,scale,direct_scale,5.511,0.001,0.001,1,0,single,
task_scale_06,True,True,1.0000,5.63,scaling,scale,10x10,1,1,scaling,0.9000,True,scale,direct_scale,5.619,0.001,0.001,1,0,single,
task_scale_07,True,True,1.0000,5.02,scaling,scale,10x10,1,1,scaling,0.9000,True,scale,direct_scale,5.011,0.001,0.001,1,0,single,
task_scale_08,True,True,1.0000,5.10,scaling,symmetry,10x10,1,1,scaling,0.9000,True,symmetry,direct_scale,5.094,0.002,0.001,1,0,single,
task_scale_09,True,True,1.0000,5.87,scaling,symmetry,10x10,1,1,scaling,0.9000,True,symmetry,direct_scale,5.862,0.001,0.001,1,0,single,
task_scale_10,True,True,1.0000,5.63,scaling,scale,10x10,1,1,scaling,0.9000,True,scale,direct_scale,5.614,0.003,0.001,1,0,single,
task_symmetry_01,True,True,1.0000,4.98,symmetry|symmetry,symmetry,5x8,2,1,symmetry,1.0000,True,symmetry,direct_symmetry,4.967,0.001,0.000,1,0,single,
task_symmetry_02,True,True,1.0000,4.64,symmetry|symmetry,symmetry,6x5,2,1,symmetry,1.0000,True,symmetry,direct_symmetry,4.633,0.002,0.000,1,0,single,
task_symmetry_03,True,True,1.0000,5.47,symmetry,UNKNOWN,5x9,2,1,symmetry,1.0000,True,UNKNOWN,direct_symmetry,5.464,0.001,0.001,1,0,single,
task_symmetry_04,True,True,1.0000,4.85,symmetry|symmetry,symmetry,5x8,2,1,symmetry,1.0000,True,symmetry,direct_symmetry,4.842,0.000,0.001,1,0,single,
task_symmetry_05,True,False,0.9400,5.10,symmetry,symmetry,10x10,1,1,symmetry,1.0000,True,symmetry,direct_symmetry,5.091,0.001,0.001,1,0,single,
task_symmetry_06,True,False,0.9219,4.36,symmetry,symmetry,8x8,1,1,symmetry,1.0000,True,symmetry,direct_symmetry,4.354,0.000,0.000,1,0,single,
task_symmetry_07,True,False,0.9400,6.04,rotation,symmetry,10x10,1,1,rotation,1.0000,True,symmetry,direct_rotate,6.033,0.002,0.001,1,0,single,
task_symmetry_08,True,True,1.0000,5.24,symmetry,symmetry,10x10,1,1,symmetry,1.0000,True,symmetry,direct_symmetry,5.231,0.001,0.001,1,0,single,
task_symmetry_09,True,False,0.9400,5.86,symmetry,symmetry,10x10,1,1,symmetry,1.0000,True,symmetry,direct_symmetry,5.854,0.001,0.001,1,0,single,
task_symmetry_10,True,True,1.0000,4.17,symmetry,symmetry,8x8,1,1,symmetry,1.0000,True,symmetry,direct_symmetry,4.161,0.001,0.000,1,0,single,
task_tiling_01,True,True,1.0000,8.30,tiling|tiling,tile,2x2,2,1,tiling,1.0000,False,tile,,8.295,0.000,0.000,2,0,single,
task_tiling_02,True,True,1.0000,7.15,tiling|tiling,tile,3x3,2,1,tiling,1.0000,False,tile,,7.142,0.000,0.000,1,0,single,
task_tiling_03,True,True,1.0000,8.79,tiling|tiling,tile,2x3,2,1,tiling,1.0000,False,tile,,8.787,0.000,0.001,1,0,single,
task_tiling_04,True,True,1.0000,5.61,tiling,tile,2x2,1,1,tiling,1.0000,False,tile,,5.606,0.000,0.000,4,0,single,
task_tiling_05,True,True,1.0000,4.62,tiling,tile,1x3,1,1,tiling,1.0000,False,tile,,4.610,0.000,0.000,3,0,single,
task_tiling_06,True,True,1.0000,4.61,tiling,tile,3x1,1,1,tiling,1.0000,False,tile,,4.605,0.000,0.000,3,0,single,
task_tiling_07,True,True,1.0000,2.73,tiling,tile,1x1,1,1,tiling,1.0000,False,tile,,2.731,0.000,0.000,1,0,single,
task_tiling_08,True,True,1.0000,5.51,tiling,tile,2x2,1,1,tiling,1.0000,False,tile,,5.502,0.000,0.000,1,0,single,
task_tiling_09,True,True,1.0000,3.37,tiling,tile,3x3,1,1,tiling,1.0000,False,tile,,3.362,0.000,0.001,1,0,single,
task_tiling_10,True,True,1.0000,2.96,tiling,tile,2x2,1,1,tiling,1.0000,False,tile,,2.959,0.000,0.000,1,0,single,
task_translation_01,True,True,1.0000,6.29,translation|rotation|translation|rotation,translate,8x8,2,1,translation,1.0000,False,translate,,6.285,0.001,0.001,1,0,single,
task_translation_02,True,True,1.0000,6.24,translation|rotation|reflection,translate,8x8,2,1,translation,1.0000,True,translate,direct_translate,6.236,0.000,0.000,1,0,single,
task_translation_03,True,True,1.0000,6.24,translation|rotation|translation|rotation,translate,8x8,2,1,translation,1.0000,False,translate,,6.229,0.000,0.000,1,0,single,
task_translation_04,True,True,1.0000,6.25,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,6.242,0.000,0.000,1,0,single,
task_translation_05,True,True,1.0000,4.64,translation|rotation|translation|rotation,translate,6x6,2,1,translation,1.0000,False,translate,,4.637,0.001,0.000,1,0,single,
task_translation_06,True,True,1.0000,6.35,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,6.343,0.000,0.000,1,0,single,
task_translation_07,True,True,1.0000,6.36,translation|translation,translate,8x8,2,1,translation,1.0000,False,translate,,6.355,0.001,0.000,1,0,single,
task_translation_08,True,True,1.0000,5.56,translation|rotation|translation|rotation,translate,7x7,2,1,translation,1.0000,False,translate,,5.554,0.001,0.000,1,0,single,
task_translation_09,True,True,1.0000,4.86,translation,translate,10x10,1,1,translation,1.0000,False,translate,,4.847,0.000,0.000,1,0,single,
task_translation_10,True,False,0.9400,4.88,translation|rotation,translate,10x10,1,1,translation,1.0000,False,translate,,4.875,0.000,0.000,1,0,single,
